Name,OpName,FwOps,BwOps,AccOps,Prev,Next,InputShapes,OutputShape,LinearWeightTrainable,LoraRank
bmm_1,BMM,"[['BMM', (32, 2048, 2048, 64)]]","[['BMM', (32, 2048, 64, 2048)], ['BMM', (32, 2048, 2048, 64)]]",[],"{""'view_7"", ""'dropout""}","{'size_1', 'view_1'}","[(32, 2048, 2048), (32, 2048, 64)]","(32, 2048, 64)",True,0
size_10,misc,[],[],[],"{""'bmm_1""}",{'ne_'},"[(32, 2048, 64)]","(1,)",True,0
mul_8,misc,[],[],[],"{""'getitem_11""}",{'ne_'},"[(1,)]","(1,)",True,0
ne_2,misc,[],[],[],"{""'size_10"", ""'getitem_12"", ""'mul_8""}",set(),"[(1,), (1,), (1,)]","(1,)",True,0
view_10,misc,[],[],[],"{""'getitem_12"", ""'getitem_11"", ""'bmm_1""}",{'transpose_'},"[(32, 2048, 64), (1,), (1,)]","(4, 8, 2048, 64)",True,0
transpose_4,misc,[],[],[],"{""'view_10""}",{'reshap'},"[(4, 8, 2048, 64)]","(4, 2048, 8, 64)",True,0
reshape,misc,[],[],[],"{""'transpose_4"", ""'getitem_12"", ""'getitem_11""}",{'model_decoder_layers_0_self_attn_out_pro'},"[(4, 2048, 8, 64), (1,), (1,)]","(4, 2048, 512)",True,0
model_decoder_layers_0_self_attn_out_proj,Linear,"[['Linear', (8192, 512, 512)]]","[['Linear', (8192, 512, 512)]]",[],"{""'reshape""}",{'dropout_'},"[(4, 2048, 512)]","(4, 2048, 512)",False,0
dropout_1,dropout,"[['MEM', ((4, 2048, 512), (4, 2048, 512))]]","[['MEM', ((4, 2048, 512),)], ['MEM', ((4, 2048, 512),)]]",[],"{""'model_decoder_layers_0_self_attn_out_proj""}",{'add_1'},"[(4, 2048, 512)]","(4, 2048, 512)",True,0
add_10,VECadd,"[['VECadd', (8192, 512)]]","[['MEM', ((8192, 512),)], ['MEM', ((8192, 512),)]]",[],"{""'add_5"", ""'dropout_1""}","{'size_1', 'reshape_'}","[(4, 2048, 512), (4, 2048, 512)]","(4, 2048, 512)",True,0
size_11,misc,[],[],[],"{""'add_10""}",{'view_1'},"[(4, 2048, 512)]","(1,)",True,0
size_12,misc,[],[],[],"{""'add_10""}",{'reshape_'},"[(4, 2048, 512)]","(1,)",True,0
reshape_1,misc,[],[],[],"{""'add_10"", ""'size_12""}","{'add_1', 'model_decoder_layers_0_final_layer_nor'}","[(4, 2048, 512), (1,)]","(8192, 512)",True,0
model_decoder_layers_0_final_layer_norm,VECln,"[['VECln', (8192, 512)]]","[['VECmul', (8192, 512)]]","[['VECadd', [1, 512]], ['VECadd', [1, 512]]]","{""'reshape_1""}",{'model_decoder_layers_0_fc'},"[(8192, 512)]","(8192, 512)",False,0
model_decoder_layers_0_fc1,Linear,"[['Linear', (8192, 512, 2048)]]","[['Linear', (8192, 2048, 512)]]",[],"{""'model_decoder_layers_0_final_layer_norm""}",{'model_decoder_layers_0_activation_f'},"[(8192, 512)]","(8192, 2048)",False,0
model_decoder_layers_0_activation_fn,VECrelu,"[['VECrelu', (8192, 2048)]]","[['VECrelu', (8192, 2048)]]",[],"{""'model_decoder_layers_0_fc1""}",{'model_decoder_layers_0_fc'},"[(8192, 2048)]","(8192, 2048)",True,0
model_decoder_layers_0_fc2,Linear,"[['Linear', (8192, 2048, 512)]]","[['Linear', (8192, 512, 2048)]]",[],"{""'model_decoder_layers_0_activation_fn""}",{'dropout_'},"[(8192, 2048)]","(8192, 512)",False,0
dropout_2,dropout,"[['MEM', ((8192, 512), (8192, 512))]]","[['MEM', ((8192, 512),)], ['MEM', ((8192, 512),)]]",[],"{""'model_decoder_layers_0_fc2""}",{'add_1'},"[(8192, 512)]","(8192, 512)",True,0
add_11,VECadd,"[['VECadd', (8192, 512)]]","[['MEM', ((8192, 512),)], ['MEM', ((8192, 512),)]]",[],"{""'reshape_1"", ""'dropout_2""}",{'view_1'},"[(8192, 512), (8192, 512)]","(8192, 512)",True,0
view_11,misc,[],[],[],"{""'add_11"", ""'size_11""}",{'model_decoder_final_layer_nor'},"[(8192, 512), (1,)]","(4, 2048, 512)",True,0
model_decoder_final_layer_norm,VECln,"[['VECln', (8192, 512)]]","[['VECmul', (8192, 512)]]","[['VECadd', [1, 512]], ['VECadd', [1, 512]]]","{""'view_11""}",{'model_decoder_project_ou'},"[(4, 2048, 512)]","(4, 2048, 512)",False,0
model_decoder_project_out,Linear,"[['Linear', (8192, 512, 2048)]]","[['Linear', (8192, 2048, 512)]]",[],"{""'model_decoder_final_layer_norm""}",{'lm_hea'},"[(4, 2048, 512)]","(4, 2048, 2048)",False,0
lm_head,Linear,"[['Linear', (8192, 2048, 50272)]]","[['Linear', (8192, 50272, 2048)]]",[],"{""'model_decoder_project_out""}",{'contiguous_'},"[(4, 2048, 2048)]","(4, 2048, 50272)",False,0
contiguous_3,contiguous,"[['MEM', ((4, 2048, 50272), (4, 2048, 50272))]]","[['MEM', ((4, 2048, 50272),)], ['MEM', ((4, 2048, 50272),)]]",[],"{""'lm_head""}",{'outpu'},"[(4, 2048, 50272)]","(4, 2048, 50272)",True,0
output,output,[],[],[],"{""'contiguous_3"", ""'contiguous"", ""'contiguous_1""}",set(),"[(4, 2048, 50272), (4, 8, 2048, 64), (4, 8, 2048, 64)]","(4, 2048, 50272)",True,0
